# Bar presence as function of g-r for D < 25 Mpc and logMstar > 8.5, with B-V and V_max weights
logmstar   gmr   weight   bar
9.029   0.417   1.527    0
9.388   0.398   1.864    0
8.891   0.271   2.123    0
8.617   0.417   2.968    0
8.892   0.293   3.001    0
9.159   0.025   2.467    1
10.614   0.847   1.645    0
9.120   0.186   1.636    0
9.347   0.232   2.261    0
9.588   0.137   1.655    1
10.149   0.330   1.232    1
9.959   0.325   1.217    1
9.658   0.635   1.661    0
10.093   0.406   1.595    0
10.062   0.320   1.297    0
9.290   0.519   2.542    1
8.910   0.299   5.691    0
9.428   0.564   3.237    1
9.384   0.633   6.026    0
9.194   0.269   2.591    1
8.935   0.388   2.909    1
10.029   0.204   1.551    1
10.250   0.405   1.220    0
9.299   0.330   3.453    1
9.819   0.558   1.085    0
10.378   0.437   1.157    1
10.651   0.358   1.002    0
9.404   0.184   1.323    0
10.437   0.533   1.140    1
9.798   0.317   1.576    1
10.631   0.578   1.159    1
9.327   0.429   1.000    0
10.211   0.145   1.115    1
9.241   0.252   1.498    1
9.721   0.371   1.655    1
9.759   0.242   1.194    1
10.321   0.320   1.100    1
9.793   0.378   1.847    1
10.291   0.358   1.000    0
9.493   0.293   1.001    1
9.853   0.274   1.194    1
10.156   0.443   1.549    1
10.283   0.748   1.641    1
10.184   0.336   1.104    1
10.663   0.438   1.000    0
10.109   0.339   1.102    1
10.441   0.582   1.168    1
10.186   0.568   1.234    1
8.994   0.331   8.976    1
9.603   0.327   1.086    1
10.861   0.595   1.000    0
9.972   0.285   1.111    1
10.619   0.392   1.029    0
10.228   0.306   1.071    1
11.240   0.576   1.000    1
9.555   0.082   1.422    0
9.802   0.417   1.613    1
10.429   0.384   1.082    1
10.720   0.470   1.000    1
10.291   0.287   1.101    1
10.764   0.828   1.000    1
10.576   0.476   1.013    1
10.561   0.765   1.169    1
9.836   0.280   1.601    1
9.442   0.224   1.000    1
9.464   0.414   2.428    0
9.665   0.331   1.963    1
9.277   0.398   3.669    1
10.825   0.704   1.028    1
10.610   0.705   1.431    0
10.978   0.498   1.000    1
10.739   0.750   1.141    1
10.115   0.315   1.077    1
8.806   0.563   3.150    0
11.133   0.771   1.000    1
10.448   0.482   1.026    0
10.297   0.619   1.003    1
10.108   0.605   1.577    1
10.402   0.779   1.632    1
9.305   0.251   1.715    1
9.584   0.266   2.054    1
9.625   0.364   1.224    1
10.333   0.641   1.028    1
10.182   0.744   1.336    0
9.299   0.158   1.846    1
10.390   0.108   1.001    1
10.584   0.465   1.000    1
9.192   0.120   1.879    0
9.990   0.473   1.135    1
10.181   0.605   1.599    1
10.661   0.445   1.000    1
9.684   0.262   1.205    1
9.985   0.391   1.254    0
10.571   0.485   1.000    0
8.740   0.376   19.113    1
10.615   0.593   1.000    1
9.461   0.196   1.813    1
9.137   0.200   1.624    0
9.420   0.416   1.407    1
9.247   0.456   4.903    1
9.443   0.216   1.187    0
9.167   0.193   1.381    1
11.122   0.677   1.022    1
10.456   0.684   1.083    1
10.413   0.368   1.164    0
10.870   0.747   1.040    0
10.280   0.501   1.476    0
11.137   0.707   1.000    0
10.665   0.457   1.000    1
10.449   0.524   1.230    0
10.104   0.922   1.678    1
9.273   0.420   1.730    0
10.856   0.588   1.065    0
10.780   0.738   1.000    0
9.356   0.579   2.452    0
8.687   0.186   2.842    1
8.954   0.406   5.567    0
10.898   0.773   1.109    1
10.853   0.682   1.053    0
10.233   0.479   1.757    0
10.425   0.444   1.000    0
10.215   0.648   1.691    1
10.893   0.770   1.159    1
10.675   0.635   1.097    1
9.079   0.201   1.143    0
9.162   0.268   1.196    1
9.056   0.157   2.712    0
10.375   0.671   1.567    0
10.319   0.175   1.110    0
9.730   0.191   1.108    1
10.571   0.387   1.052    0
9.740   0.435   1.000    1
10.486   0.636   1.000    1
9.419   0.211   1.991    0
10.259   0.285   1.029    1
10.725   0.712   1.000    1
10.022   0.220   1.235    0
9.706   0.268   1.151    0
9.653   0.190   1.834    1
10.177   0.342   1.024    1
10.404   0.575   1.167    1
10.089   0.560   1.784    0
9.710   0.149   1.093    1
11.030   0.602   1.000    0
9.600   0.771   1.220    0
10.809   0.523   1.000    1
10.163   0.426   1.005    0
9.531   0.126   1.793    1
10.273   0.574   1.620    1
10.230   0.604   2.225    0
10.181   0.438   1.303    1
10.264   0.397   1.217    1
10.495   0.564   1.085    1
10.477   0.307   1.000    1
10.233   0.547   1.181    1
10.043   0.388   1.741    0
10.288   0.430   1.188    0
10.508   0.378   1.036    0
9.000   0.359   4.596    0
10.716   0.751   1.057    0
9.386   0.384   2.311    0
10.526   0.370   1.036    0
10.246   0.244   1.053    1
10.987   0.580   1.000    1
11.104   0.610   1.000    1
9.587   0.372   2.028    0
10.868   0.448   1.001    0
10.503   0.434   1.180    0
10.359   0.516   1.015    1
9.719   0.569   1.205    1
9.979   0.228   1.337    1
10.294   0.443   1.203    1
10.178   0.279   1.085    1
9.775   0.575   1.096    1
10.377   0.489   1.135    0
9.076   0.280   1.268    1
10.364   0.716   1.335    0
9.313   0.376   1.132    1
9.801   0.766   1.563    1
