# Bar presence as function of log(M_star/M_sun) and log(f_gas) for D < 25 Mpc, with V_max weights
logmstar   logfgas  weight   bar
9.564   -0.456   1.000    1
9.373   -0.492   1.000    1
9.999   -0.609   1.000    1
9.546   -0.147   1.000    1
9.299   0.145   1.000    1
8.520   0.431   2.141    1
8.771   -0.058   1.000    1
8.986   0.817   1.000    1
8.836   0.009   1.000    0
8.724   -0.358   1.585    0
8.521   -0.066   11.599    0
8.646   -0.047   2.055    1
9.029   0.048   1.000    0
8.784   0.527   1.000    1
9.291   0.033   1.000    1
8.802   -0.079   1.000    0
9.121   -1.533   1.000    1
8.999   -0.769   1.328    0
8.946   -0.413   1.000    1
8.688   -0.184   1.428    1
8.902   0.212   1.000    0
8.792   -0.278   1.000    0
8.811   0.272   1.000    0
9.214   -0.294   1.016    1
9.134   -0.830   1.279    1
9.201   -0.513   1.000    1
9.388   -0.446   1.000    0
8.891   -0.073   1.000    0
9.067   -0.606   1.000    1
8.645   0.286   2.595    1
9.098   -0.244   1.000    1
9.150   -0.643   1.000    1
9.575   -0.388   1.000    1
8.631   0.855   1.000    1
8.617   0.087   1.000    0
9.148   0.036   1.000    1
9.129   0.040   1.000    0
9.113   -0.425   1.000    0
9.094   -0.047   1.000    0
9.260   -0.501   1.000    1
9.024   0.098   1.000    0
8.892   0.026   1.000    0
8.664   -0.217   1.250    1
9.219   -0.232   1.000    1
9.023   -0.625   1.000    1
8.530   0.193   1.000    1
8.959   0.196   1.000    0
9.159   -0.049   1.000    1
8.629   0.012   2.885    0
9.789   -0.404   1.000    1
9.151   -0.045   1.000    1
8.849   0.597   1.564    1
9.307   -0.123   1.000    1
10.614   -1.213   1.000    0
9.679   -1.824   1.000    1
9.410   -0.944   1.953    1
9.630   -0.236   1.000    1
9.913   -1.050   1.000    1
9.035   -0.230   2.083    1
9.077   -0.090   1.000    0
9.120   -0.096   1.000    0
9.408   -0.026   1.000    1
9.347   0.005   1.000    0
9.588   -0.268   1.000    1
10.149   -0.968   1.000    1
9.959   -0.958   1.000    1
8.731   0.489   1.341    0
9.658   -1.714   1.000    0
9.606   -0.867   1.000    1
10.578   -1.039   1.000    1
10.093   -1.309   1.000    0
9.197   -0.127   1.000    0
10.062   -0.934   1.000    0
10.087   -1.077   1.000    0
8.503   -0.466   5.023    1
8.587   -0.073   2.331    0
9.290   -0.553   1.000    1
8.910   -0.597   1.964    0
9.428   -1.092   1.000    1
9.384   -1.302   1.762    0
9.396   -0.454   1.487    0
8.574   0.443   1.000    0
9.818   -1.947   1.000    0
9.194   -1.010   1.367    1
8.808   -0.660   1.000    1
9.373   -1.379   1.241    1
8.935   0.028   1.000    1
8.960   -0.452   4.753    1
10.160   -1.094   1.000    0
10.300   -0.534   1.000    1
9.296   -0.289   1.000    1
10.029   -1.115   1.000    1
10.250   -1.440   1.000    0
9.702   -0.452   1.000    0
9.299   -0.556   2.090    1
9.819   -0.339   1.000    0
10.378   -0.894   1.000    1
10.651   -1.044   1.000    0
9.404   0.210   1.000    0
10.437   -0.692   1.000    1
9.798   -0.259   1.000    1
9.844   -0.486   1.000    0
10.631   -0.511   1.000    1
9.308   0.187   1.000    1
9.327   -0.052   1.000    0
10.211   -0.562   1.000    1
9.241   0.226   1.000    1
9.721   -0.101   1.000    1
9.759   -0.322   1.000    1
9.699   -0.437   1.000    1
10.321   -0.656   1.000    1
9.793   -0.396   1.000    1
10.291   -0.656   1.000    0
9.493   -0.169   1.000    1
9.853   -0.514   1.000    1
10.156   -0.803   1.000    1
10.283   -2.948   1.000    1
9.549   -0.438   1.000    0
10.184   -0.458   1.000    1
9.505   0.058   1.000    0
10.663   -1.245   1.000    0
10.109   -0.995   1.000    1
10.441   -1.680   1.000    1
9.680   -0.569   1.000    1
10.186   -1.690   1.000    1
8.994   -0.602   3.760    1
9.603   -0.692   1.000    1
9.269   -0.237   1.000    1
10.861   -1.825   1.000    0
9.972   -0.534   1.000    1
10.619   -0.949   1.000    0
10.228   -1.030   1.000    1
9.555   -0.195   1.000    0
9.802   -0.416   1.000    1
10.429   -0.900   1.000    1
10.720   -0.902   1.000    1
10.291   -0.830   1.000    1
10.764   -1.804   1.000    1
9.921   -0.549   1.000    0
10.576   -1.227   1.000    1
10.561   -1.497   1.000    1
9.836   -99.000   1.000    1
9.442   -0.232   1.000    1
9.464   -0.977   1.000    0
8.894   0.130   1.000    1
9.665   -1.407   1.125    1
9.277   -0.237   1.088    1
9.447   -0.775   1.000    1
10.825   -1.683   1.000    1
10.610   -1.476   1.000    0
10.978   -1.101   1.000    1
10.739   -0.969   1.000    1
10.115   -1.037   1.000    1
8.806   -0.115   1.083    0
10.448   -0.822   1.000    0
9.164   -0.092   1.000    0
10.297   -1.454   1.000    1
10.108   -1.972   1.000    1
10.402   -1.472   1.000    1
9.305   -0.647   1.000    1
9.584   -0.334   1.000    1
9.625   -0.696   1.000    1
9.576   -0.380   1.000    0
10.333   -0.806   1.000    1
10.182   -1.735   1.000    0
9.299   -0.388   1.000    1
10.390   -1.045   1.000    1
10.584   -1.092   1.000    1
9.192   0.384   1.000    0
9.990   -0.856   1.000    1
10.181   -1.387   1.000    1
10.661   -0.700   1.000    1
9.537   -0.465   1.000    1
9.684   -0.790   1.000    1
9.985   -0.789   1.000    0
10.571   -1.484   1.000    0
8.740   -0.678   10.378    1
10.615   -1.303   1.000    1
9.461   -0.368   1.000    1
9.137   -0.377   1.000    0
9.420   -0.652   1.011    1
9.247   -0.881   3.567    1
9.443   0.073   1.000    0
9.167   -0.330   1.000    1
10.456   -3.099   1.000    1
10.413   -1.083   1.000    0
10.870   -2.481   1.000    0
10.280   -1.145   1.000    0
10.665   -1.197   1.000    1
10.449   -1.195   1.000    0
10.104   -1.639   1.000    1
9.273   -1.230   1.730    0
10.856   -1.037   1.000    0
10.780   -1.323   1.000    0
9.356   -0.304   2.452    0
8.687   -0.109   1.000    1
8.954   -0.366   1.529    0
10.898   -2.182   1.000    1
10.853   -0.915   1.000    0
10.233   -1.491   1.000    0
10.425   -1.084   1.000    0
10.215   -1.511   1.000    1
10.893   -1.915   1.000    1
9.606   -0.196   1.000    1
9.020   -0.292   2.108    0
10.675   -1.560   1.000    1
9.079   -0.170   1.000    0
9.162   0.345   1.000    1
9.056   0.150   1.607    0
10.375   -1.691   1.000    0
9.884   -1.037   1.000    1
10.319   -0.778   1.000    0
9.730   -0.177   1.000    1
10.571   -0.482   1.000    0
9.740   -0.710   1.000    1
10.157   -0.941   1.000    1
10.486   -1.534   1.000    1
9.419   -0.499   1.000    0
10.259   -0.277   1.000    1
10.725   -1.505   1.000    1
9.961   -1.502   1.000    1
9.892   -0.765   1.000    1
10.022   -0.801   1.000    0
9.706   -0.695   1.000    0
9.232   -0.247   1.000    0
9.653   -0.361   1.000    1
9.433   -0.017   1.000    1
9.944   -0.540   1.000    1
10.177   -0.566   1.000    1
10.404   -1.727   1.000    1
10.127   -1.154   1.000    1
10.089   -1.115   1.000    0
9.710   -0.850   1.000    1
9.600   -1.549   1.000    0
10.032   -0.899   1.000    0
10.809   -1.809   1.000    1
10.163   -1.018   1.000    0
9.531   -0.145   1.000    1
10.505   -1.294   1.000    1
10.919   -1.472   1.000    0
10.273   -0.710   1.000    1
10.230   -1.935   1.000    0
10.181   -0.568   1.000    1
10.264   -1.294   1.000    1
10.495   -0.999   1.000    1
10.477   -0.874   1.000    1
10.233   -1.548   1.000    1
10.043   -1.493   1.000    0
10.288   -0.956   1.000    0
9.170   -0.130   2.678    1
9.392   -0.282   1.000    0
9.477   -0.306   1.000    1
10.508   -1.079   1.000    0
9.184   -0.428   1.000    1
10.476   -1.002   1.000    1
10.486   -0.869   1.000    0
9.000   0.259   2.417    0
10.716   -1.102   1.000    0
9.431   -0.397   1.000    1
9.365   -1.167   2.677    1
9.386   -0.531   1.000    0
9.621   -0.449   1.000    1
10.526   -0.931   1.000    0
10.246   -0.859   1.000    1
10.987   -1.603   1.000    1
10.258   -0.978   1.000    0
9.313   -0.677   6.196    1
8.836   -0.625   4.662    1
10.963   -1.246   1.000    0
9.587   -0.467   1.173    0
9.691   -1.341   1.000    1
10.868   -1.150   1.000    0
10.418   -99.000   1.000    0
10.503   -0.908   1.000    0
8.826   -0.735   6.533    1
10.359   -1.204   1.000    1
9.719   -2.139   1.000    1
