# Bar presence as function of log(M_star/M_sun) for D < 25 Mpc, with V_max weights
logmstar   weight   bar
9.564   1.000    1
9.373   1.000    1
9.999   1.000    1
9.546   1.000    1
9.299   1.000    1
8.520   2.141    1
8.771   1.000    1
8.986   1.000    1
8.836   1.000    0
8.724   1.585    0
8.521   11.599    0
8.646   2.055    1
9.029   1.000    0
8.784   1.000    1
9.291   1.000    1
8.802   1.000    0
9.121   1.000    1
8.999   1.328    0
8.946   1.000    1
8.688   1.428    1
8.902   1.000    0
8.792   1.000    0
8.811   1.000    0
9.214   1.016    1
9.134   1.279    1
9.201   1.000    1
9.388   1.000    0
8.891   1.000    0
9.067   1.000    1
8.645   2.595    1
9.098   1.000    1
9.150   1.000    1
9.575   1.000    1
8.631   1.000    1
8.617   1.000    0
9.148   1.000    1
9.129   1.000    0
9.113   1.000    0
9.094   1.000    0
9.260   1.000    1
9.024   1.000    0
8.892   1.000    0
8.664   1.250    1
9.219   1.000    1
9.023   1.000    1
8.530   1.000    1
8.959   1.000    0
9.159   1.000    1
8.629   2.885    0
9.789   1.000    1
9.151   1.000    1
8.849   1.564    1
9.307   1.000    1
10.614   1.000    0
9.679   1.000    1
9.410   1.953    1
9.630   1.000    1
9.913   1.000    1
9.035   2.083    1
9.077   1.000    0
9.120   1.000    0
9.408   1.000    1
9.347   1.000    0
9.588   1.000    1
10.149   1.000    1
9.959   1.000    1
8.731   1.341    0
9.658   1.000    0
9.606   1.000    1
10.578   1.000    1
10.093   1.000    0
9.197   1.000    0
10.062   1.000    0
10.087   1.000    0
8.503   5.023    1
8.587   2.331    0
9.290   1.000    1
8.910   1.964    0
9.428   1.000    1
9.384   1.762    0
9.396   1.487    0
8.574   1.000    0
9.818   1.000    0
9.194   1.367    1
8.808   1.000    1
9.373   1.241    1
8.935   1.000    1
8.960   4.753    1
10.160   1.000    0
10.300   1.000    1
9.296   1.000    1
10.029   1.000    1
10.250   1.000    0
9.702   1.000    0
9.299   2.090    1
9.819   1.000    0
10.378   1.000    1
10.651   1.000    0
9.404   1.000    0
10.437   1.000    1
9.798   1.000    1
9.844   1.000    0
10.631   1.000    1
9.308   1.000    1
9.327   1.000    0
10.211   1.000    1
9.241   1.000    1
9.721   1.000    1
9.759   1.000    1
9.699   1.000    1
10.321   1.000    1
9.793   1.000    1
10.291   1.000    0
9.493   1.000    1
9.853   1.000    1
10.156   1.000    1
10.283   1.000    1
9.549   1.000    0
10.184   1.000    1
9.505   1.000    0
10.663   1.000    0
10.109   1.000    1
10.441   1.000    1
9.680   1.000    1
10.186   1.000    1
8.994   3.760    1
9.603   1.000    1
9.269   1.000    1
10.861   1.000    0
9.972   1.000    1
10.619   1.000    0
10.228   1.000    1
9.555   1.000    0
9.802   1.000    1
10.429   1.000    1
10.720   1.000    1
10.291   1.000    1
10.764   1.000    1
9.921   1.000    0
10.576   1.000    1
10.561   1.000    1
9.836   1.000    1
9.442   1.000    1
9.464   1.000    0
8.894   1.000    1
9.665   1.125    1
9.277   1.088    1
9.447   1.000    1
10.825   1.000    1
10.610   1.000    0
10.978   1.000    1
10.739   1.000    1
10.115   1.000    1
8.806   1.083    0
10.448   1.000    0
9.164   1.000    0
10.297   1.000    1
10.108   1.000    1
10.402   1.000    1
9.305   1.000    1
9.584   1.000    1
9.625   1.000    1
