logmstar   log_sma_kpc
8.105   -0.223
8.168   0.179
8.183   -0.417
8.246   0.101
8.246   -0.237
8.251   0.159
8.354   0.168
8.363   0.294
8.391   0.057
8.409   0.146
8.452   -0.164
8.455   -0.019
8.477   -0.301
8.484   -0.018
8.505   -0.051
8.533   0.138
8.551   -0.188
8.608   0.220
8.608   0.367
8.619   -0.225
8.658   0.066
8.684   0.313
8.686   0.388
8.690   -0.101
8.699   -0.088
8.702   0.174
8.714   -0.280
8.723   0.131
8.739   -0.065
8.757   -0.047
8.763   -0.052
8.785   0.306
8.800   0.164
8.817   0.412
8.834   0.164
8.834   0.100
8.835   0.123
8.838   0.306
8.849   0.104
8.852   0.257
8.856   0.440
8.857   -0.029
8.860   0.216
8.871   0.216
8.882   0.207
8.886   0.064
8.893   -0.208
8.895   0.015
8.902   0.098
8.906   0.115
8.914   0.140
8.917   0.061
8.920   0.190
8.950   0.364
8.951   0.080
8.970   -0.095
8.973   0.086
8.979   0.274
8.982   0.210
9.001   0.213
9.009   0.349
9.011   0.204
9.016   0.156
9.019   -0.024
9.027   0.027
9.036   -0.208
9.036   0.236
9.038   0.017
9.042   0.106
9.047   -0.009
9.050   0.047
9.053   0.426
9.055   0.412
9.057   0.397
9.057   0.274
9.057   0.137
9.058   0.245
9.058   0.005
9.065   0.286
9.065   0.562
9.070   -0.057
9.073   0.238
9.073   0.237
9.075   0.054
9.078   0.237
9.082   0.009
9.087   0.442
9.095   -0.088
9.097   0.056
9.097   0.115
9.097   0.170
9.097   0.186
9.098   0.171
9.103   0.141
9.119   0.270
9.119   0.321
9.119   0.458
9.120   0.082
9.125   0.109
9.127   0.294
9.131   0.372
9.134   0.517
9.135   0.381
9.139   0.210
9.142   -0.006
9.143   0.287
9.147   0.040
9.147   0.266
9.149   -0.009
9.150   0.203
9.150   0.005
9.153   0.207
9.154   0.392
9.155   0.087
9.159   0.393
9.162   -0.054
9.164   0.234
9.164   0.190
9.172   0.311
9.178   0.218
9.182   -0.063
9.183   0.412
9.187   0.262
9.187   0.168
9.188   0.252
9.188   0.404
9.190   0.073
9.190   0.258
9.192   0.222
9.195   0.268
9.195   0.263
9.196   0.354
9.196   0.339
9.199   0.011
9.199   0.103
9.202   0.210
9.208   0.300
9.208   0.385
9.210   0.070
9.212   0.308
9.213   0.483
9.214   0.403
9.216   0.442
9.217   0.450
9.218   0.453
9.221   0.241
9.225   0.097
9.226   0.357
9.226   0.222
9.227   0.075
9.227   0.077
9.227   0.204
9.229   0.295
9.231   0.072
9.233   0.220
9.234   0.377
9.234   0.290
9.236   0.168
9.242   0.260
9.243   0.463
9.244   0.237
9.245   0.153
9.248   0.314
9.249   0.366
9.250   0.713
9.250   0.283
9.259   0.236
9.260   -0.097
9.260   0.141
9.261   0.256
9.266   0.125
9.267   0.004
9.268   0.362
9.269   0.289
9.270   0.362
9.273   0.348
9.274   0.561
9.276   0.293
9.277   0.437
9.279   0.512
9.280   0.124
9.280   0.523
9.281   0.345
9.287   0.385
9.288   0.196
9.288   0.132
9.291   0.290
9.292   0.102
9.294   0.218
9.296   0.418
9.297   0.153
9.301   0.283
9.304   0.019
9.304   0.259
9.304   0.124
9.309   0.328
9.312   0.515
9.315   0.238
9.320   -0.036
9.321   0.366
9.322   0.438
9.323   0.169
9.324   0.080
9.330   0.244
9.330   0.254
9.332   0.038
9.333   0.119
9.333   0.210
9.333   0.149
9.334   0.099
9.335   0.034
9.335   0.467
9.336   0.311
9.336   0.389
9.338   0.481
9.340   0.230
9.340   0.279
9.340   0.445
9.341   0.093
9.343   0.437
9.344   0.095
9.344   0.318
9.345   0.210
9.346   0.408
9.346   0.143
9.348   0.014
9.348   0.261
9.350   0.214
9.351   0.173
9.352   0.302
9.352   0.088
9.353   0.333
9.353   0.275
9.356   0.086
9.357   -0.117
9.357   0.286
9.359   0.547
9.359   -0.148
9.359   0.597
9.360   0.270
9.361   0.241
9.362   0.332
9.364   0.436
9.365   0.213
9.366   0.121
9.366   0.196
9.366   0.375
9.369   0.242
9.373   0.410
9.375   0.381
9.376   0.209
9.377   0.250
9.378   0.593
9.379   0.268
9.379   0.390
9.379   0.055
9.381   0.178
9.381   0.218
9.383   0.172
9.384   0.452
9.385   0.322
9.391   0.386
9.392   0.545
9.396   0.092
9.397   0.306
9.397   0.077
9.398   0.162
9.399   0.330
9.401   0.400
9.401   0.384
9.402   0.375
9.403   0.405
9.403   0.181
9.406   0.072
9.408   0.337
9.408   0.391
9.412   0.397
9.412   0.249
9.413   0.402
9.416   0.227
9.416   0.274
9.416   0.339
9.420   0.127
9.420   0.060
9.426   0.206
9.428   0.488
9.429   0.155
9.430   0.447
9.430   0.085
9.433   0.237
9.433   0.346
9.434   0.484
9.436   0.446
9.437   0.316
9.437   0.280
9.437   0.132
9.437   0.085
9.437   0.278
9.437   0.094
9.437   -0.268
9.439   0.052
9.439   0.197
9.439   0.225
9.441   0.423
9.441   0.381
9.441   0.407
9.444   0.302
9.450   0.038
9.450   0.259
9.450   0.395
9.451   0.327
9.453   0.012
9.455   0.216
9.458   0.447
9.458   0.244
9.458   0.411
9.459   0.223
9.460   0.280
9.460   0.084
9.462   0.358
9.463   -0.072
9.464   0.337
9.465   0.489
9.465   0.392
9.466   0.307
9.469   0.131
9.470   0.316
9.472   0.126
9.472   0.167
9.474   0.103
9.475   0.447
9.476   -0.047
9.477   0.413
9.479   0.357
9.479   0.228
9.480   0.440
9.481   -0.093
9.481   0.148
9.481   0.327
9.481   0.595
9.486   0.101
9.487   0.253
9.488   0.223
9.488   0.381
9.488   0.417
9.492   0.114
9.494   0.162
9.495   0.487
9.495   0.483
9.498   0.032
9.498   0.503
9.498   0.186
9.500   0.271
9.501   0.355
9.502   0.053
9.503   0.287
9.506   0.253
9.506   0.166
9.508   0.278
9.508   0.117
9.509   0.322
9.510   0.114
9.510   0.307
9.511   0.441
9.511   0.337
9.512   0.369
9.513   0.334
9.514   0.135
9.514   0.218
9.514   0.268
9.514   0.280
9.515   0.435
9.517   0.267
9.518   0.437
9.520   0.411
9.522   0.409
9.522   0.329
9.525   0.152
9.525   0.118
9.529   0.241
9.533   0.335
9.534   0.421
9.536   0.351
9.536   0.126
9.540   0.093
9.541   0.383
9.541   0.348
9.542   0.202
9.544   0.067
9.547   0.258
9.547   0.361
9.549   0.195
9.551   0.355
9.551   -0.014
9.551   0.150
9.552   0.441
9.553   0.136
9.554   0.159
9.554   0.177
9.556   0.422
9.557   0.283
9.558   0.223
9.560   0.473
9.560   0.343
9.560   0.401
9.563   0.281
9.564   0.169
9.565   0.275
9.565   0.321
9.566   0.538
9.569   0.495
9.569   0.222
9.570   0.110
9.571   0.036
9.572   0.273
9.572   0.198
9.574   0.274
9.575   0.301
9.575   0.174
9.575   0.389
9.575   0.221
9.576   0.050
9.578   0.115
9.578   0.327
9.578   0.163
9.579   0.149
9.580   0.476
9.580   0.118
9.581   0.055
9.581   0.439
9.582   0.126
9.582   0.430
9.582   0.454
9.582   0.245
9.582   0.365
9.582   0.257
9.584   -0.042
9.585   0.322
9.586   0.189
9.586   0.390
9.586   0.389
9.589   0.210
9.590   0.091
9.590   0.362
9.598   0.257
9.599   0.367
9.599   0.433
9.600   0.264
9.602   0.301
9.603   0.380
9.605   0.348
9.609   0.269
9.610   0.312
9.610   0.423
9.611   0.103
9.612   0.244
9.612   0.257
9.613   0.209
9.613   0.417
9.614   0.357
9.615   0.327
9.617   0.328
9.618   0.324
9.621   0.193
9.625   0.175
9.626   0.475
9.627   0.564
9.627   0.072
9.627   0.359
9.629   0.421
9.630   0.193
9.631   0.139
9.633   0.437
9.634   0.054
9.635   0.414
9.636   0.507
9.636   0.185
9.637   0.341
9.637   0.255
9.637   0.234
9.637   0.193
9.638   0.424
9.639   0.482
9.641   0.087
9.641   0.211
9.641   0.329
9.643   0.301
9.645   0.300
9.646   0.171
9.646   0.218
9.647   0.441
9.651   0.104
9.652   0.288
9.652   0.242
9.653   0.192
9.654   0.100
9.656   0.264
9.656   0.145
9.658   0.346
9.659   0.207
9.663   0.199
9.664   0.468
9.665   0.559
9.665   0.284
9.665   0.247
9.666   0.512
9.671   0.447
9.671   0.416
9.672   0.282
9.673   0.308
9.675   0.499
9.675   0.074
9.677   0.111
9.678   0.338
9.681   0.372
9.683   0.206
9.684   -0.137
9.684   0.162
9.684   0.127
9.686   0.290
9.691   0.183
9.691   0.194
9.694   0.275
9.695   0.676
9.696   0.337
9.696   0.671
9.697   0.298
9.698   0.429
9.701   0.308
9.704   0.304
9.706   0.378
9.707   0.164
9.708   0.373
9.708   0.269
9.710   0.153
9.711   0.286
9.711   -0.041
9.712   0.227
9.713   0.180
9.715   0.213
9.715   0.390
9.715   0.243
9.715   0.130
9.716   0.303
9.717   0.303
9.721   0.230
9.723   0.375
9.726   0.296
9.726   0.384
9.727   0.050
9.727   0.221
9.727   0.283
9.728   0.132
9.729   0.185
9.729   0.421
9.731   0.245
9.734   0.348
9.735   0.129
9.736   0.077
9.737   0.096
9.738   0.290
9.738   0.309
9.740   0.031
9.740   0.339
9.743   0.240
9.743   0.321
9.744   0.400
9.745   0.293
9.745   0.157
9.746   0.211
9.746   0.489
9.746   0.616
9.747   0.353
9.747   0.354
9.747   0.216
9.749   0.293
9.749   0.390
9.752   -0.101
9.753   0.204
9.755   0.187
9.756   -0.118
9.758   0.512
9.758   0.296
9.758   0.226
9.762   0.419
9.763   0.288
9.770   0.307
9.770   0.485
9.774   0.238
9.774   0.293
9.774   0.057
9.776   0.580
9.777   0.161
9.777   0.086
9.778   0.299
9.779   -0.010
9.779   0.753
9.780   -0.135
9.781   0.469
9.781   0.441
9.782   0.261
9.783   0.507
9.784   0.202
9.784   0.497
9.784   0.208
9.785   0.537
9.786   0.444
9.786   0.294
9.788   0.227
9.789   0.689
9.790   0.336
9.791   0.138
9.792   0.285
9.793   0.309
9.793   0.231
9.793   0.365
9.794   0.371
9.794   0.279
9.794   0.486
9.794   0.600
9.795   0.319
9.796   0.300
9.796   0.244
9.796   0.307
9.799   0.112
9.800   0.499
9.807   0.155
9.808   0.483
9.810   0.504
9.811   0.150
9.812   0.116
9.813   0.345
9.814   0.402
9.814   0.310
9.816   0.529
9.817   0.354
9.818   0.239
9.818   0.223
9.818   0.191
9.818   0.295
9.823   0.133
9.823   0.379
9.825   0.431
9.828   0.537
9.829   0.111
9.830   0.602
9.830   0.360
9.831   0.290
9.833   0.183
9.834   0.629
9.836   0.356
9.839   0.357
9.839   0.271
9.840   0.345
9.840   0.484
9.842   0.406
9.844   -0.004
9.844   0.421
9.845   0.528
9.846   0.461
9.846   0.299
9.849   0.533
9.850   0.369
9.851   0.366
9.851   0.268
9.855   0.511
9.855   0.262
9.856   0.396
9.857   0.373
9.857   0.187
9.857   0.302
9.858   0.376
9.858   -0.064
9.859   0.600
9.859   0.293
9.859   0.231
9.860   0.409
9.860   0.286
9.862   0.323
9.863   0.424
9.863   0.418
9.863   0.285
9.866   0.551
9.867   0.097
9.867   0.138
9.869   0.321
9.869   0.742
9.870   0.320
9.871   0.401
9.873   0.397
9.874   0.319
9.876   0.143
9.876   0.235
9.877   0.403
9.879   0.539
9.881   0.607
9.882   0.464
9.883   0.553
9.883   0.338
9.886   0.265
9.886   0.248
9.886   0.597
9.887   0.539
9.889   0.405
9.889   0.349
9.893   0.502
9.893   0.348
9.895   0.465
9.896   0.123
9.899   0.460
9.900   0.126
9.900   0.326
9.902   0.072
9.904   0.252
9.905   0.609
9.905   0.683
9.905   0.134
9.905   0.224
9.906   0.205
9.909   0.523
9.910   0.523
9.911   0.327
9.911   0.426
9.912   0.477
9.914   0.455
9.916   0.123
9.917   0.238
9.918   0.283
9.919   0.240
