logmstar   log_sma_kpc
8.034   0.010
8.080   -0.003
8.212   -0.586
8.273   -0.057
8.285   0.108
8.302   0.059
8.322   0.127
8.322   0.148
8.401   -0.058
8.457   -0.439
8.462   0.032
8.474   0.016
8.477   0.203
8.479   -0.189
8.503   -0.349
8.508   0.056
8.520   0.079
8.528   -0.063
8.530   0.175
8.548   0.294
8.584   0.002
8.631   -0.149
8.645   0.167
8.664   0.176
8.686   -0.040
8.687   0.263
8.687   0.092
8.688   0.124
8.695   0.063
8.703   0.380
8.705   0.245
8.741   -0.055
8.748   0.271
8.755   0.084
8.755   0.267
8.758   0.143
8.760   0.189
8.771   0.233
8.779   0.222
8.784   0.423
8.808   0.308
8.809   -0.514
8.811   0.286
8.816   -0.069
8.826   -0.181
8.836   0.051
8.841   0.451
8.843   0.190
8.849   0.175
8.875   0.227
8.892   0.481
8.894   0.112
8.896   0.206
8.901   -0.086
8.911   0.489
8.924   0.021
8.935   0.051
8.948   -0.184
8.960   0.238
8.965   0.160
8.977   0.148
8.986   0.117
8.992   0.401
8.994   -0.420
9.005   0.436
9.006   0.146
9.023   0.027
9.024   0.228
9.027   0.416
9.031   0.184
9.035   -0.088
9.038   0.295
9.039   -0.012
9.060   0.192
9.065   -0.094
9.067   0.161
9.071   -0.514
9.076   -0.230
9.092   0.257
9.096   0.088
9.098   -0.097
9.111   0.391
9.121   0.290
9.130   0.242
9.134   0.013
9.148   0.266
9.148   -0.114
9.150   0.292
9.151   0.460
9.156   0.452
9.159   0.359
9.160   -0.107
9.162   0.235
9.167   0.507
9.170   0.233
9.173   0.086
9.179   -0.187
9.179   0.348
9.180   -0.086
9.184   0.176
9.194   -0.125
9.201   -0.402
9.202   0.391
9.204   -0.082
9.214   -0.079
9.217   0.354
9.219   0.350
9.235   0.108
9.241   0.249
9.245   -0.089
9.247   -0.256
9.251   0.318
9.260   0.229
9.269   0.115
9.277   0.064
9.278   -0.122
9.283   0.114
9.286   -0.001
9.290   0.040
9.291   0.269
9.291   0.471
9.294   0.044
9.296   0.305
9.299   0.249
9.299   0.359
9.299   0.247
9.305   0.270
9.307   -0.025
9.308   -0.237
9.313   -0.442
9.313   0.290
9.314   0.149
9.326   0.198
9.327   0.323
9.363   0.233
9.365   0.125
9.371   0.315
9.373   -0.119
9.373   0.235
9.390   0.751
9.408   0.378
9.409   0.371
9.410   -0.021
9.420   0.008
9.428   -0.000
9.430   0.068
9.431   0.329
9.433   0.227
9.434   0.189
9.442   -0.094
9.447   -0.040
9.448   0.077
9.457   0.442
9.461   0.552
9.466   -0.139
9.477   0.102
9.484   0.187
9.493   0.295
9.500   0.516
9.506   0.484
9.512   0.115
9.525   0.535
9.531   0.442
9.537   0.187
9.538   -0.044
9.546   -0.143
9.553   -0.180
9.564   0.254
9.571   0.341
9.573   0.078
9.575   0.352
9.578   -0.223
9.584   -0.025
9.588   0.150
9.603   0.085
9.604   0.506
9.606   0.316
9.606   0.117
9.620   -0.170
9.621   0.422
9.625   0.261
9.630   0.183
9.633   0.128
9.635   0.166
9.637   0.426
9.653   0.250
9.665   -0.049
9.667   0.131
9.674   0.058
9.679   0.077
9.680   0.190
9.684   0.110
9.691   0.429
9.699   -0.035
9.702   0.270
9.705   0.168
9.710   0.201
9.717   0.373
9.719   0.259
9.719   0.328
9.721   -0.009
9.728   -0.150
9.730   0.711
9.739   0.012
9.740   -0.123
9.742   0.184
9.745   0.101
9.747   -0.288
9.759   0.322
9.764   -0.006
9.771   0.125
9.789   -0.071
9.793   0.357
9.798   0.126
9.801   0.388
9.801   0.232
9.802   0.053
9.802   0.109
9.802   0.079
9.812   0.338
9.836   0.076
9.836   -0.044
9.839   0.248
9.844   0.491
9.846   0.455
9.853   0.166
9.854   0.156
9.860   0.217
9.877   0.169
9.884   0.466
9.892   0.244
9.899   0.380
9.909   0.174
9.913   0.298
9.929   0.411
9.938   0.037
9.944   0.307
9.959   -0.196
9.961   0.289
9.972   0.520
9.973   0.437
9.979   0.574
9.990   0.018
9.999   0.065
10.004   -0.246
10.014   0.144
10.029   0.201
10.036   0.605
10.062   0.741
10.069   0.226
10.082   0.380
10.095   0.153
10.104   0.369
10.108   -0.055
10.109   -0.250
10.115   0.218
10.117   0.030
10.127   0.291
10.131   0.044
10.140   0.533
10.149   0.310
10.152   0.517
10.153   0.328
10.156   0.169
10.157   0.176
10.162   0.070
10.172   -0.063
10.177   0.023
10.178   0.145
10.181   0.067
10.181   0.373
10.184   0.387
10.186   0.181
10.211   0.318
10.212   0.529
10.215   0.589
10.228   0.154
10.228   -0.040
10.233   0.315
10.239   0.004
10.246   0.010
10.259   0.555
10.262   0.396
10.264   0.137
10.273   0.145
10.283   0.212
10.291   0.416
10.294   0.711
10.297   0.503
10.300   0.181
10.317   0.443
10.321   0.270
10.333   0.629
10.359   0.587
10.362   0.199
10.373   0.468
10.378   0.207
10.390   0.143
10.402   0.484
10.404   0.557
10.404   0.187
10.411   0.522
10.418   0.734
10.429   0.551
10.437   0.729
10.440   0.528
10.441   0.553
10.443   0.355
10.445   0.463
10.451   0.598
10.456   0.076
10.476   0.464
10.477   0.481
10.479   0.509
10.485   0.359
10.486   0.401
10.495   0.182
10.505   0.712
10.523   0.638
10.554   0.088
10.561   0.421
10.567   0.298
10.576   0.439
10.576   0.849
10.578   0.324
10.584   0.327
10.615   0.884
10.631   0.361
10.649   0.708
10.661   0.719
10.665   0.476
10.673   0.351
10.675   0.803
10.695   0.490
10.696   0.671
10.718   0.553
10.720   0.268
10.725   0.466
10.739   0.432
10.764   0.608
10.775   0.847
10.809   0.508
10.825   0.765
10.857   0.460
10.881   0.911
10.893   0.943
10.898   0.428
10.931   0.661
10.978   0.895
10.987   0.430
11.037   0.589
11.098   0.587
11.104   0.827
11.122   0.784
11.133   0.576
11.240   0.961
11.334   0.254
