# This table summarizes useful information about galaxies in the Parent Disc Sample of
# Erwin (2017, in prep). Most of the data is taken from xxx
#
# Except for the following columns, values are from Herrera-Endoqui et al. (2015: A&A, 582, A86)
#    dist, logmstar -- distance in Mpc and log of galaxy stellar mass (in solar masses), from 
#       Munoz-Mateos et al. (2015: ApJS, 219, 3)
#    bar_strength -- Buta et al. (2015)
#    A2, A4 -- Diaz-Garcia et al. (2016)
#    Re, Re_kpc, h_kpc -- Salo et al. (2015)
#    R25, etc.; t_s4g -- main S4G table
#    B_tc, BmV_tc, m21c, W_gas, t_leda -- HyperLeda (as of 29 March 2017)
#    gmr_tc -- total g-r color, based on BmV_tc as described in paper
#    weight_BmVtc -- B_t-based weights for galaxy colors (see paper)
#    w25, w30, w40 -- V/V_max weights assuming D_max = 25, 30, or 40 Mpc
#    M_HI, logfgas -- based on dist + m21c, as described in paper
#    inclination -- Munoz-Mateos et al. (2015)
#    sma_dp_kpc2 -- deprojected bar semi-major axis (in kpc) using bar size and
#       PA from Herrera-Endoqui et al. and galaxy inclination and PA from Munoz-Mateos et al.
#
# name logmstar dist B_tc BmV_tc weight_BmVtc gmr_tc m21c M_HI logfgas w25 w30 w40 sma sma_kpc sma_ell_kpc sma_dp_kpc sma_dp_kpc2 sma_ell_dp_kpc2 bar_strength A2 A4 inclination R25 R25_5 R25_kpc R25_5_kpc R25c_kpc Re Re_kpc h_kpc W_gas t_s4g t_leda
ESO013-016 9.56400049274 23.017 12.883 -99.0 1.91078322347 -111.06 14.87 1283136093.71 -0.455727771196 1.0 1.0 1.0 16.1 1.79659030858 1.15495091266 1.79659030858 1.79662604637 1.15497388695 1 0.391 0.125 50.3033002308 64.2867180336 36.55 7.17372016086 4.07859476887 7.5291236801 38.85 4.33525052723 2.34996244152 74.87 7.5 7.5 
ESO026-001 9.37300032507 19.16 13.446 -99.0 2.86040117211 -111.06 15.039 760967827.002 -0.491634029469 1.0 1.1070755259 2.62417902435 18.5 1.71846895983 2.00642862337 1.76491406686 1.76618085929 2.06213548977 2 0.643 0.282 20.3778518271 45.4068374531 28.6 4.21785085013 2.65666012169 5.24917701325 62.93 5.84558116985 1.8029061644 41.68 5.9 5.9 
ESO027-001 9.99899952369 18.308 11.2 -99.0 1.12029224337 -111.06 13.668 2456162484.34 -0.608742430064 1.0 1.0 1.0 13.1 1.16275083024 1.2381964948 1.224882554 1.21850623988 1.29756962185 2 0.489 -999.999 39.3133648947 81.3057489567 51.6 7.21666619106 4.57999563668 8.61661358602 96.07 8.52713528713 2.1900545027 52.39 5.0 5.0 
ESO048-017 9.2020003603 29.52 13.912 -99.0 3.63722640424 -111.06 15.414 1278815797.05 -0.0951923678878 1.0 1.0 1.0 27.9 3.99296051196 -107.230310523 -142.973747364 4.03797665766 0.0 1 -999.999 -999.999 59.9380141679 47.4374411781 27.1 6.78909782841 3.87846702058 6.82043488017 38.76 5.54720965748 2.95622194749 66.16 6.9 6.9 
ESO054-021 9.54599943999 16.475 12.095 -99.0 1.47596211559 -111.06 13.418 2503952768.68 -0.147373307341 1.0 1.0 1.46454831733 9.0 0.718856810414 -59.8448294669 -79.7931059559 0.859485219802 0.0 2 -999.999 -999.999 63.1231771432 64.1388626851 78.75 5.12296202815 6.28999709112 5.25437587229 84.66 6.76204639663 3.76281603762 84.8 7.9 7.9 
ESO079-005 9.29899926108 23.483 13.106 -99.0 2.21195856744 -111.06 14.073 2782802868.3 0.145483181245 1.0 1.0 1.0 15.6 1.77603956076 1.63088248127 2.01512180932 2.01989594662 1.85480829714 1 -999.999 -999.999 55.5679484306 58.3608024487 33.55 6.64430089401 3.81962354253 6.58338557726 30.14 3.43139951034 2.4525284755 72.6 7.0 7.0 
ESO079-007 9.47099965431 25.22 13.48 -99.0 2.94165201663 -111.06 15.371 971103346.166 -0.483734203716 1.0 1.0 1.0 13.9 1.69955154777 1.32051487165 1.71177853732 1.70429293853 1.32419882994 1 0.191 0.112 36.965344413 48.2082375904 27.55 5.89441617351 3.36853562165 5.9352743145 24.27 2.96749036434 1.7723021356 52.01 4.0 4.0 
ESO085-030 9.80200018248 31.075 13.597 -99.0 3.24268352719 -111.06 13.889 5772946872.07 -0.0406026217419 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 59.7189932076 40.843340474 24.0 6.15328245329 3.61573703731 6.1250106885 12.16 1.83197343224 0.0 94.21 -0.4 -0.4 
ESO085-047 8.51999985116 16.7 13.784 -99.0 3.73746350903 -111.06 14.567 892911113.548 0.430808377248 2.14126595782 3.70010757512 8.77062536325 14.8 1.19826436865 -60.662133663 -80.882844884 1.26281506953 0.0 1 -999.999 -999.999 59.2800801204 34.8434584152 34.05 2.82105910132 2.75681768599 2.80163906707 37.53 3.03857174024 2.04862725135 27.14 9.0 9.0 
ESO114-007 9.25100030812 26.1 13.994 -99.0 3.40456809698 -111.06 14.352 2658620203.83 0.173655992671 1.0 1.0 1.22534519463 13.0 1.64497127482 -94.8072867428 -126.409715657 1.97458768867 0.0 2 -999.999 -999.999 40.3524695509 42.9656369782 23.4 5.4367106641 2.96094829467 5.51234284329 25.12 3.17859064795 1.64952657989 32.16 9.0 9.0 
ESO120-012 8.77099995867 14.4 13.496 -99.0 2.98093168328 -111.06 14.839 516773541.941 -0.0576996883609 1.0 1.68762631188 4.00029940594 24.5 1.71042106029 -52.3074685477 -69.743291397 1.74129533788 0.0 2 -999.999 -999.999 48.8537118304 52.4954006587 32.05 3.66486689204 2.23750999927 3.88202390767 31.12 2.17258381209 1.41706639517 44.59 7.1 7.1 
ESO120-021 8.15300034591 18.167 15.206 -99.0 8.32591861721 -111.06 14.517 1106475287.11 0.890941372582 2.48296374041 4.29056134343 10.1702194807 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 62.1144331639 30.4874607861 22.8 2.68521416673 2.00813322667 2.72884538702 33.04 2.9100316583 2.07313332849 52.81 10.0 10.0 
ESO145-025 8.98600007165 22.5 13.16 -99.0 2.29888791416 -111.06 13.084 6352436351.87 0.816940250691 1.0 1.0 1.03426640851 12.0 1.3089957094 -81.7304196058 -108.973892808 1.69411949903 0.0 2 -999.999 -999.999 49.5819249346 52.7377084188 30.1 5.75278617033 3.28339757109 5.7000443097 45.09 4.91855137808 3.14758926624 55.61 9.0 9.0 
ESO150-005 8.83600050529 15.15 13.6 -99.0 3.25077532082 -111.06 14.619 700487761.234 0.00940004650191 1.0 1.0 1.41886826586 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 35.6407519577 70.4889846254 41.85 5.17735978996 3.07384917461 5.17735978996 64.79 4.75877390735 2.54347247473 43.87 7.8 7.8 
ESO159-025 8.13499900174 11.8 15.078 -99.0 5.91460901384 -111.06 15.012 295896140.649 0.336140298984 6.50390223001 11.2387430535 26.6399835341 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 38.9300332076 34.0503244702 19.55 1.94794962184 1.11841563038 2.02105308524 28.4 1.62470608198 1.00720335491 43.18 10.0 10.0 
ESO187-035 8.66999987624 26.2 14.405 -99.0 2.9206982628 -111.06 14.687 1967786010.6 0.623977992512 1.0 1.0 1.0 22.1 2.80716553948 -95.1705330521 -126.89404407 2.9445647381 0.0 1 -999.999 -999.999 58.0296134569 46.8944292792 21.4 5.95658035593 2.71825079388 5.95658035593 36.5 4.63626887741 1.95485419242 45.29 9.0 9.0 
ESO202-041 8.32200002408 16.967 14.387 -99.0 2.91587705282 -111.06 15.112 557937312.023 0.424585381718 1.39638394386 2.41295145499 5.71958863405 17.1 1.40661624609 1.65339102611 1.44774537609 1.44175614117 1.69469581505 2 0.467 0.255 48.4460512897 39.5477021567 18.7 3.25312516662 1.5382294621 3.18640352198 31.56 2.59607068577 1.36104517005 38.93 8.9 8.9 
ESO234-043 9.12199948607 26.95 14.106 -99.0 3.0915673188 -111.06 14.555 2351217606.39 0.249293339095 1.0 1.0 1.08268885291 18.7 2.44328897292 2.35182895789 2.9136547645 2.92220529444 2.81281793048 2 0.505 -999.999 49.3399658547 43.3631931224 28.9 5.66571184955 3.77599204906 5.81104827208 58.96 7.70354640875 3.76684604756 57.45 8.9 8.9 
ESO234-049 9.90900051654 35.986 12.645 0.245 1.71091237898 0.0944 15.013 2749428545.54 -0.469758079188 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 22.8178211189 51.0647552518 29.4 8.90900677523 5.12926768962 9.01216821169 23.36 4.07549976971 2.54701289118 32.83 4.1 4.1 
ESO236-039 8.46199948621 22.222 14.439 -99.0 2.9327254138 -111.06 13.814 3163308677.06 1.03814208642 1.27488378145 2.20299917435 5.22192396884 10.0 1.07735195016 1.15545996655 1.17431362568 1.13858623827 1.22113374055 2 0.143 -999.999 64.7025762096 31.1258524745 14.2 3.35334978639 1.52983976923 3.3456372959 16.83 1.81318333212 1.09911445955 34.05 8.6 8.6 
ESO237-052 9.506000085 36.46 13.903 -99.0 3.65829841399 -111.06 15.22 2332429978.62 -0.138191470242 1.0 1.0 1.0 14.7 2.59841466075 -132.439604392 -176.58613919 3.12667618684 0.0 2 -999.999 -999.999 63.2670106869 34.5240116683 25.0 6.10256449435 4.4190725523 6.04661584677 25.88 4.57462390614 2.54061319177 77.42 7.5 7.5 
ESO238-018 9.51700047903 41.042 14.01 -99.0 3.35596087608 -111.06 15.67 1952685575.73 -0.226368160839 1.0 1.0 1.0 6.9 1.37294160425 1.01478292488 1.45253242188 1.45694947759 1.07687570083 2 -999.999 -999.999 25.0341119809 31.3416065766 16.35 6.23626023377 3.25327467093 6.27948792458 15.7 3.12393959227 2.00190804063 19.07 5.5 5.5 
ESO245-005 8.03399841319 4.193 12.684 0.425 1.72888365809 0.296 13.07 223472975.161 0.315226597732 5.63956282142 9.74516455541 23.0996493165 50.3 1.02250939326 -15.2309177514 -20.3078903352 1.07561334867 0.0 2 -999.999 -999.999 43.5285226491 100.489631747 46.75 2.04277519655 0.95034421739 2.0664294185 103.0 2.09380651104 1.69222255351 25.57 9.9 9.9 
ESO245-007 5.93700004078 0.415 13.523 -99.0 3.04866415392 -111.06 -99.0 1.47323313967e+51 45.2312714388 16393.6529104 28328.2322291 67148.4023208 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 22.6628823587 71.1412111698 47.55 0.143134330281 0.0956694058614 0.144458735933 88.98 0.179025525416 0.149531985553 -99.0 9.5 9.5 
ESO249-008 8.72399964259 17.389 13.893 -99.0 3.67998782941 -111.06 16.116 232447297.371 -0.35767514152 1.58487933805 2.73867149615 6.49166576865 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 48.6093876396 36.9931449969 19.9 3.1186764519 1.67765301917 3.10434743518 11.98 1.00996397838 0.903656417715 23.8 1.3 2.4 
ESO249-026 7.77099994101 12.931 14.489 -99.0 2.95849121085 -111.06 14.222 735596255.001 1.09563956853 3.93480931548 6.79935049715 16.1169789562 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 59.1335077449 36.738485978 18.2 2.3031797066 1.14097980753 2.23525886161 31.67 1.9854302475 0.9135988316 43.05 7.2 7.2 
ESO249-036 8.52099942221 9.4 14.969 -99.0 4.6109241401 -111.06 14.558 285253507.547 -0.0657684288995 11.5994251082 20.043806587 47.5112452433 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 48.6093876396 35.2469266482 30.75 1.60628856322 1.4013526289 1.60628856322 0.0 0.0 0.0 29.9 10.0 10.0 
